Stock,Predicted Price ($),Date Predicted
NVDA,34.95,2022-08-21
META,403.27,2022-08-21
JPM,220.47,2022-08-21
BAC,62.94,2022-08-21
WFC,71.53,2022-08-21
C,92.77,2022-08-21
GS,516.31,2022-08-21
PG,221.1,2022-08-21
KO,85.86,2022-08-21
PEP,233.73,2022-08-21
MO,64.55,2022-08-21
MNST,70.84,2022-08-21
JNJ,258.16,2022-08-21
PFE,67.37,2022-08-21
MRNA,267.78,2022-08-21
LLY,398.25,2022-08-21
UNH,720.96,2022-08-21
XOM,103.77,2022-08-21
CVX,204.72,2022-08-21
COP,120.45,2022-08-21
PSX,118.6,2022-08-21
SLB,54.77,2022-08-21
TSLA,439.29,2022-08-21
F,19.91,2022-08-21
GM,80.22,2022-08-21
RIVN,45.6,2022-08-21
LCID,41.02,2022-08-21
AMZN,262.98,2022-08-21
WMT,74.69,2022-08-21
COST,761.6,2022-08-21
TGT,328.53,2022-08-21
HD,499.32,2022-08-21
BA,356.08,2022-08-21
LMT,612.04,2022-08-21
NOC,607.24,2022-08-21
GD,326.36,2022-08-21
RTX,138.15,2022-08-21
VZ,72.34,2022-08-21
T,26.12,2022-08-21
DIS,261.02,2022-08-21
NFLX,719.3,2022-08-21
CMCSA,75.34,2022-08-21
AMD,165.07,2022-08-21
TSM,173.06,2022-08-21
INTC,83.68,2022-08-21
AVGO,86.19,2022-08-21
QCOM,225.13,2022-08-21
AAPL,240.41,2022-09-21
MSFT,445.29,2022-09-21
GOOGL,202.65,2022-09-21
NVDA,34.95,2022-09-21
META,403.27,2022-09-21
JPM,220.47,2022-09-21
BAC,62.94,2022-09-21
WFC,71.53,2022-09-21
C,92.77,2022-09-21
GS,516.31,2022-09-21
PG,221.1,2022-09-21
KO,85.86,2022-09-21
PEP,233.73,2022-09-21
MO,64.55,2022-09-21
MNST,70.84,2022-09-21
JNJ,258.16,2022-09-21
PFE,67.37,2022-09-21
MRNA,267.78,2022-09-21
LLY,398.25,2022-09-21
UNH,720.96,2022-09-21
XOM,103.77,2022-09-21
CVX,204.72,2022-09-21
COP,120.45,2022-09-21
PSX,118.6,2022-09-21
SLB,54.77,2022-09-21
TSLA,439.29,2022-09-21
F,19.91,2022-09-21
GM,80.22,2022-09-21
RIVN,45.6,2022-09-21
LCID,41.02,2022-09-21
AMZN,262.98,2022-09-21
WMT,74.69,2022-09-21
COST,761.6,2022-09-21
TGT,328.53,2022-09-21
HD,499.32,2022-09-21
BA,356.08,2022-09-21
LMT,612.04,2022-09-21
NOC,607.24,2022-09-21
GD,326.36,2022-09-21
RTX,138.15,2022-09-21
VZ,72.34,2022-09-21
T,26.12,2022-09-21
DIS,261.02,2022-09-21
NFLX,719.3,2022-09-21
CMCSA,75.34,2022-09-21
AMD,165.07,2022-09-21
TSM,173.06,2022-09-21
INTC,83.68,2022-09-21
AVGO,86.19,2022-09-21
QCOM,225.13,2022-09-21
AAPL,240.41,2022-10-21
MSFT,445.29,2022-10-21
GOOGL,202.65,2022-10-21
NVDA,34.95,2022-10-21
META,403.27,2022-10-21
JPM,220.47,2022-10-21
BAC,62.94,2022-10-21
WFC,71.53,2022-10-21
C,92.77,2022-10-21
GS,516.31,2022-10-21
PG,221.1,2022-10-21
KO,85.86,2022-10-21
PEP,233.73,2022-10-21
MO,64.55,2022-10-21
MNST,70.84,2022-10-21
JNJ,258.16,2022-10-21
PFE,67.37,2022-10-21
MRNA,267.78,2022-10-21
LLY,398.25,2022-10-21
UNH,720.96,2022-10-21
XOM,103.77,2022-10-21
CVX,204.72,2022-10-21
COP,120.45,2022-10-21
PSX,118.6,2022-10-21
SLB,54.77,2022-10-21
TSLA,439.29,2022-10-21
F,19.91,2022-10-21
GM,80.22,2022-10-21
RIVN,45.6,2022-10-21
LCID,41.02,2022-10-21
AMZN,262.98,2022-10-21
WMT,74.69,2022-10-21
COST,761.6,2022-10-21
TGT,328.53,2022-10-21
HD,499.32,2022-10-21
BA,356.08,2022-10-21
LMT,612.04,2022-10-21
NOC,607.24,2022-10-21
GD,326.36,2022-10-21
RTX,138.15,2022-10-21
VZ,72.34,2022-10-21
T,26.12,2022-10-21
DIS,261.02,2022-10-21
NFLX,719.3,2022-10-21
CMCSA,75.34,2022-10-21
AMD,165.07,2022-10-21
TSM,173.06,2022-10-21
INTC,83.68,2022-10-21
AVGO,86.19,2022-10-21
QCOM,225.13,2022-10-21
AAPL,240.41,2022-11-21
MSFT,445.29,2022-11-21
GOOGL,202.65,2022-11-21
NVDA,34.95,2022-11-21
META,403.27,2022-11-21
JPM,220.47,2022-11-21
BAC,62.94,2022-11-21
WFC,71.53,2022-11-21
C,92.77,2022-11-21
GS,516.31,2022-11-21
PG,221.1,2022-11-21
KO,85.86,2022-11-21
PEP,233.73,2022-11-21
MO,64.55,2022-11-21
MNST,70.84,2022-11-21
JNJ,258.16,2022-11-21
PFE,67.37,2022-11-21
MRNA,267.78,2022-11-21
LLY,398.25,2022-11-21
UNH,720.96,2022-11-21
XOM,103.77,2022-11-21
CVX,204.72,2022-11-21
COP,120.45,2022-11-21
PSX,118.6,2022-11-21
SLB,54.77,2022-11-21
TSLA,439.29,2022-11-21
F,19.91,2022-11-21
GM,80.22,2022-11-21
RIVN,45.6,2022-11-21
LCID,41.02,2022-11-21
AMZN,262.98,2022-11-21
WMT,74.69,2022-11-21
COST,761.6,2022-11-21
TGT,328.53,2022-11-21
HD,499.32,2022-11-21
BA,356.08,2022-11-21
LMT,612.04,2022-11-21
NOC,607.24,2022-11-21
GD,326.36,2022-11-21
RTX,138.15,2022-11-21
VZ,72.34,2022-11-21
T,26.12,2022-11-21
DIS,261.02,2022-11-21
NFLX,719.3,2022-11-21
CMCSA,75.34,2022-11-21
AMD,165.07,2022-11-21
TSM,173.06,2022-11-21
INTC,83.68,2022-11-21
AVGO,86.19,2022-11-21
QCOM,225.13,2022-11-21
AAPL,240.41,2022-12-21
MSFT,445.29,2022-12-21
GOOGL,202.65,2022-12-21
NVDA,34.95,2022-12-21
META,403.27,2022-12-21
JPM,220.47,2022-12-21
BAC,62.94,2022-12-21
WFC,71.53,2022-12-21
C,92.77,2022-12-21
GS,516.31,2022-12-21
PG,221.1,2022-12-21
KO,85.86,2022-12-21
PEP,233.73,2022-12-21
MO,64.55,2022-12-21
MNST,70.84,2022-12-21
JNJ,258.16,2022-12-21
PFE,67.37,2022-12-21
MRNA,267.78,2022-12-21
LLY,398.25,2022-12-21
UNH,720.96,2022-12-21
XOM,103.77,2022-12-21
CVX,204.72,2022-12-21
COP,120.45,2022-12-21
PSX,118.6,2022-12-21
SLB,54.77,2022-12-21
TSLA,439.29,2022-12-21
F,19.91,2022-12-21
GM,80.22,2022-12-21
RIVN,45.6,2022-12-21
LCID,41.02,2022-12-21
AMZN,262.98,2022-12-21
WMT,74.69,2022-12-21
COST,761.6,2022-12-21
TGT,328.53,2022-12-21
HD,499.32,2022-12-21
BA,356.08,2022-12-21
LMT,612.04,2022-12-21
NOC,607.24,2022-12-21
GD,326.36,2022-12-21
RTX,138.15,2022-12-21
VZ,72.34,2022-12-21
T,26.12,2022-12-21
DIS,261.02,2022-12-21
NFLX,719.3,2022-12-21
CMCSA,75.34,2022-12-21
AMD,165.07,2022-12-21
TSM,173.06,2022-12-21
INTC,83.68,2022-12-21
AVGO,86.19,2022-12-21
QCOM,225.13,2022-12-21
AAPL,240.41,2023-01-21
MSFT,445.29,2023-01-21
GOOGL,202.65,2023-01-21
NVDA,34.95,2023-01-21
META,403.27,2023-01-21
JPM,220.47,2023-01-21
BAC,62.94,2023-01-21
WFC,71.53,2023-01-21
C,92.77,2023-01-21
GS,516.31,2023-01-21
PG,221.1,2023-01-21
KO,85.86,2023-01-21
PEP,233.73,2023-01-21
MO,64.55,2023-01-21
MNST,70.84,2023-01-21
JNJ,258.16,2023-01-21
PFE,67.37,2023-01-21
MRNA,267.78,2023-01-21
LLY,398.25,2023-01-21
UNH,720.96,2023-01-21
XOM,103.77,2023-01-21
CVX,204.72,2023-01-21
COP,120.45,2023-01-21
PSX,118.6,2023-01-21
SLB,54.77,2023-01-21
TSLA,439.29,2023-01-21
F,19.91,2023-01-21
GM,80.22,2023-01-21
RIVN,45.6,2023-01-21
LCID,41.02,2023-01-21
AMZN,262.98,2023-01-21
WMT,74.69,2023-01-21
COST,761.6,2023-01-21
TGT,328.53,2023-01-21
HD,499.32,2023-01-21
BA,356.08,2023-01-21
LMT,612.04,2023-01-21
NOC,607.24,2023-01-21
GD,326.36,2023-01-21
RTX,138.15,2023-01-21
VZ,72.34,2023-01-21
T,26.12,2023-01-21
DIS,261.02,2023-01-21
NFLX,719.3,2023-01-21
CMCSA,75.34,2023-01-21
AMD,165.07,2023-01-21
TSM,173.06,2023-01-21
INTC,83.68,2023-01-21
AVGO,86.19,2023-01-21
QCOM,225.13,2023-01-21
AAPL,240.41,2023-02-21
MSFT,445.29,2023-02-21
GOOGL,202.65,2023-02-21
NVDA,34.95,2023-02-21
META,403.27,2023-02-21
JPM,220.47,2023-02-21
BAC,62.94,2023-02-21
WFC,71.53,2023-02-21
C,92.77,2023-02-21
GS,516.31,2023-02-21
PG,221.1,2023-02-21
KO,85.86,2023-02-21
PEP,233.73,2023-02-21
MO,64.55,2023-02-21
MNST,70.84,2023-02-21
JNJ,258.16,2023-02-21
PFE,67.37,2023-02-21
MRNA,267.78,2023-02-21
LLY,398.25,2023-02-21
UNH,720.96,2023-02-21
XOM,103.77,2023-02-21
CVX,204.72,2023-02-21
COP,120.45,2023-02-21
PSX,118.6,2023-02-21
SLB,54.77,2023-02-21
TSLA,439.29,2023-02-21
F,19.91,2023-02-21
GM,80.22,2023-02-21
RIVN,45.6,2023-02-21
LCID,41.02,2023-02-21
AMZN,262.98,2023-02-21
WMT,74.69,2023-02-21
COST,761.6,2023-02-21
TGT,328.53,2023-02-21
HD,499.32,2023-02-21
BA,356.08,2023-02-21
LMT,612.04,2023-02-21
NOC,607.24,2023-02-21
GD,326.36,2023-02-21
RTX,138.15,2023-02-21
VZ,72.34,2023-02-21
T,26.12,2023-02-21
DIS,261.02,2023-02-21
NFLX,719.3,2023-02-21
CMCSA,75.34,2023-02-21
AMD,165.07,2023-02-21
TSM,173.06,2023-02-21
INTC,83.68,2023-02-21
AVGO,86.19,2023-02-21
QCOM,225.13,2023-02-21
AAPL,240.41,2023-03-21
MSFT,445.29,2023-03-21
GOOGL,202.65,2023-03-21
NVDA,34.95,2023-03-21
META,403.27,2023-03-21
JPM,220.47,2023-03-21
BAC,62.94,2023-03-21
WFC,71.53,2023-03-21
C,92.77,2023-03-21
GS,516.31,2023-03-21
PG,221.1,2023-03-21
KO,85.86,2023-03-21
PEP,233.73,2023-03-21
MO,64.55,2023-03-21
MNST,70.84,2023-03-21
JNJ,258.16,2023-03-21
PFE,67.37,2023-03-21
MRNA,267.78,2023-03-21
LLY,398.25,2023-03-21
UNH,720.96,2023-03-21
XOM,103.77,2023-03-21
CVX,204.72,2023-03-21
COP,120.45,2023-03-21
PSX,118.6,2023-03-21
SLB,54.77,2023-03-21
TSLA,439.29,2023-03-21
F,19.91,2023-03-21
GM,80.22,2023-03-21
RIVN,45.6,2023-03-21
LCID,41.02,2023-03-21
AMZN,262.98,2023-03-21
WMT,74.69,2023-03-21
COST,761.6,2023-03-21
TGT,328.53,2023-03-21
HD,499.32,2023-03-21
BA,356.08,2023-03-21
LMT,612.04,2023-03-21
NOC,607.24,2023-03-21
GD,326.36,2023-03-21
RTX,138.15,2023-03-21
VZ,72.34,2023-03-21
T,26.12,2023-03-21
DIS,261.02,2023-03-21
NFLX,719.3,2023-03-21
CMCSA,75.34,2023-03-21
AMD,165.07,2023-03-21
TSM,173.06,2023-03-21
INTC,83.68,2023-03-21
AVGO,86.19,2023-03-21
QCOM,225.13,2023-03-21
AAPL,240.41,2023-04-21
MSFT,445.29,2023-04-21
GOOGL,202.65,2023-04-21
NVDA,34.95,2023-04-21
META,403.27,2023-04-21
JPM,220.47,2023-04-21
BAC,62.94,2023-04-21
WFC,71.53,2023-04-21
C,92.77,2023-04-21
GS,516.31,2023-04-21
PG,221.1,2023-04-21
KO,85.86,2023-04-21
PEP,233.73,2023-04-21
MO,64.55,2023-04-21
MNST,70.84,2023-04-21
JNJ,258.16,2023-04-21
PFE,67.37,2023-04-21
MRNA,267.78,2023-04-21
LLY,398.25,2023-04-21
UNH,720.96,2023-04-21
XOM,103.77,2023-04-21
CVX,204.72,2023-04-21
COP,120.45,2023-04-21
PSX,118.6,2023-04-21
SLB,54.77,2023-04-21
TSLA,439.29,2023-04-21
F,19.91,2023-04-21
GM,80.22,2023-04-21
RIVN,45.6,2023-04-21
LCID,41.02,2023-04-21
AMZN,262.98,2023-04-21
WMT,74.69,2023-04-21
COST,761.6,2023-04-21
TGT,328.53,2023-04-21
HD,499.32,2023-04-21
BA,356.08,2023-04-21
LMT,612.04,2023-04-21
NOC,607.24,2023-04-21
GD,326.36,2023-04-21
RTX,138.15,2023-04-21
VZ,72.34,2023-04-21
T,26.12,2023-04-21
DIS,261.02,2023-04-21
NFLX,719.3,2023-04-21
CMCSA,75.34,2023-04-21
AMD,165.07,2023-04-21
TSM,173.06,2023-04-21
INTC,83.68,2023-04-21
AVGO,86.19,2023-04-21
QCOM,225.13,2023-04-21
AAPL,240.41,2023-05-21
MSFT,445.29,2023-05-21
GOOGL,202.65,2023-05-21
NVDA,34.95,2023-05-21
META,403.27,2023-05-21
JPM,220.47,2023-05-21
BAC,62.94,2023-05-21
WFC,71.53,2023-05-21
C,92.77,2023-05-21
GS,516.31,2023-05-21
PG,221.1,2023-05-21
KO,85.86,2023-05-21
PEP,233.73,2023-05-21
MO,64.55,2023-05-21
MNST,70.84,2023-05-21
JNJ,258.16,2023-05-21
PFE,67.37,2023-05-21
MRNA,267.78,2023-05-21
LLY,398.25,2023-05-21
UNH,720.96,2023-05-21
XOM,103.77,2023-05-21
CVX,204.72,2023-05-21
COP,120.45,2023-05-21
PSX,118.6,2023-05-21
SLB,54.77,2023-05-21
TSLA,439.29,2023-05-21
F,19.91,2023-05-21
GM,80.22,2023-05-21
RIVN,45.6,2023-05-21
LCID,41.02,2023-05-21
AMZN,262.98,2023-05-21
WMT,74.69,2023-05-21
COST,761.6,2023-05-21
TGT,328.53,2023-05-21
HD,499.32,2023-05-21
BA,356.08,2023-05-21
LMT,612.04,2023-05-21
NOC,607.24,2023-05-21
GD,326.36,2023-05-21
RTX,138.15,2023-05-21
VZ,72.34,2023-05-21
T,26.12,2023-05-21
DIS,261.02,2023-05-21
NFLX,719.3,2023-05-21
CMCSA,75.34,2023-05-21
AMD,165.07,2023-05-21
TSM,173.06,2023-05-21
INTC,83.68,2023-05-21
AVGO,86.19,2023-05-21
QCOM,225.13,2023-05-21
AAPL,240.41,2023-06-21
MSFT,445.29,2023-06-21
GOOGL,202.65,2023-06-21
NVDA,34.95,2023-06-21
META,403.27,2023-06-21
JPM,220.47,2023-06-21
BAC,62.94,2023-06-21
WFC,71.53,2023-06-21
C,92.77,2023-06-21
GS,516.31,2023-06-21
PG,221.1,2023-06-21
KO,85.86,2023-06-21
PEP,233.73,2023-06-21
MO,64.55,2023-06-21
MNST,70.84,2023-06-21
JNJ,258.16,2023-06-21
PFE,67.37,2023-06-21
MRNA,267.78,2023-06-21
LLY,398.25,2023-06-21
UNH,720.96,2023-06-21
XOM,103.77,2023-06-21
CVX,204.72,2023-06-21
COP,120.45,2023-06-21
PSX,118.6,2023-06-21
SLB,54.77,2023-06-21
TSLA,439.29,2023-06-21
F,19.91,2023-06-21
GM,80.22,2023-06-21
RIVN,45.6,2023-06-21
LCID,41.02,2023-06-21
AMZN,262.98,2023-06-21
WMT,74.69,2023-06-21
COST,761.6,2023-06-21
TGT,328.53,2023-06-21
HD,499.32,2023-06-21
BA,356.08,2023-06-21
LMT,612.04,2023-06-21
NOC,607.24,2023-06-21
GD,326.36,2023-06-21
RTX,138.15,2023-06-21
VZ,72.34,2023-06-21
T,26.12,2023-06-21
DIS,261.02,2023-06-21
NFLX,719.3,2023-06-21
CMCSA,75.34,2023-06-21
AMD,165.07,2023-06-21
TSM,173.06,2023-06-21
INTC,83.68,2023-06-21
AVGO,86.19,2023-06-21
QCOM,225.13,2023-06-21
AAPL,240.41,2023-07-21
MSFT,445.29,2023-07-21
GOOGL,202.65,2023-07-21
NVDA,34.95,2023-07-21
META,403.27,2023-07-21
JPM,220.47,2023-07-21
BAC,62.94,2023-07-21
WFC,71.53,2023-07-21
C,92.77,2023-07-21
GS,516.31,2023-07-21
PG,221.1,2023-07-21
KO,85.86,2023-07-21
PEP,233.73,2023-07-21
MO,64.55,2023-07-21
MNST,70.84,2023-07-21
JNJ,258.16,2023-07-21
PFE,67.37,2023-07-21
MRNA,267.78,2023-07-21
LLY,398.25,2023-07-21
UNH,720.96,2023-07-21
XOM,103.77,2023-07-21
CVX,204.72,2023-07-21
COP,120.45,2023-07-21
PSX,118.6,2023-07-21
SLB,54.77,2023-07-21
TSLA,439.29,2023-07-21
F,19.91,2023-07-21
GM,80.22,2023-07-21
RIVN,45.6,2023-07-21
LCID,41.02,2023-07-21
AMZN,262.98,2023-07-21
WMT,74.69,2023-07-21
COST,761.6,2023-07-21
TGT,328.53,2023-07-21
HD,499.32,2023-07-21
BA,356.08,2023-07-21
LMT,612.04,2023-07-21
NOC,607.24,2023-07-21
GD,326.36,2023-07-21
RTX,138.15,2023-07-21
VZ,72.34,2023-07-21
T,26.12,2023-07-21
DIS,261.02,2023-07-21
NFLX,719.3,2023-07-21
CMCSA,75.34,2023-07-21
AMD,165.07,2023-07-21
TSM,173.06,2023-07-21
INTC,83.68,2023-07-21
AVGO,86.19,2023-07-21
QCOM,225.13,2023-07-21
AAPL,240.41,2023-08-21
MSFT,445.29,2023-08-21
GOOGL,202.65,2023-08-21
NVDA,34.95,2023-08-21
META,403.27,2023-08-21
JPM,220.47,2023-08-21
BAC,62.94,2023-08-21
WFC,71.53,2023-08-21
C,92.77,2023-08-21
GS,516.31,2023-08-21
PG,221.1,2023-08-21
KO,85.86,2023-08-21
PEP,233.73,2023-08-21
MO,64.55,2023-08-21
MNST,70.84,2023-08-21
JNJ,258.16,2023-08-21
PFE,67.37,2023-08-21
MRNA,267.78,2023-08-21
LLY,398.25,2023-08-21
UNH,720.96,2023-08-21
XOM,103.77,2023-08-21
CVX,204.72,2023-08-21
COP,120.45,2023-08-21
PSX,118.6,2023-08-21
SLB,54.77,2023-08-21
TSLA,439.29,2023-08-21
F,19.91,2023-08-21
GM,80.22,2023-08-21
RIVN,45.6,2023-08-21
LCID,41.02,2023-08-21
AMZN,262.98,2023-08-21
WMT,74.69,2023-08-21
COST,761.6,2023-08-21
TGT,328.53,2023-08-21
HD,499.32,2023-08-21
BA,356.08,2023-08-21
LMT,612.04,2023-08-21
NOC,607.24,2023-08-21
GD,326.36,2023-08-21
RTX,138.15,2023-08-21
VZ,72.34,2023-08-21
T,26.12,2023-08-21
DIS,261.02,2023-08-21
NFLX,719.3,2023-08-21
CMCSA,75.34,2023-08-21
AMD,165.07,2023-08-21
TSM,173.06,2023-08-21
INTC,83.68,2023-08-21
AVGO,86.19,2023-08-21
QCOM,225.13,2023-08-21
AAPL,240.41,2023-09-21
MSFT,445.29,2023-09-21
GOOGL,202.65,2023-09-21
NVDA,34.95,2023-09-21
META,403.27,2023-09-21
JPM,220.47,2023-09-21
BAC,62.94,2023-09-21
WFC,71.53,2023-09-21
C,92.77,2023-09-21
GS,516.31,2023-09-21
PG,221.1,2023-09-21
KO,85.86,2023-09-21
PEP,233.73,2023-09-21
MO,64.55,2023-09-21
MNST,70.84,2023-09-21
JNJ,258.16,2023-09-21
PFE,67.37,2023-09-21
MRNA,267.78,2023-09-21
LLY,398.25,2023-09-21
UNH,720.96,2023-09-21
XOM,103.77,2023-09-21
CVX,204.72,2023-09-21
COP,120.45,2023-09-21
PSX,118.6,2023-09-21
SLB,54.77,2023-09-21
TSLA,439.29,2023-09-21
F,19.91,2023-09-21
GM,80.22,2023-09-21
RIVN,45.6,2023-09-21
LCID,41.02,2023-09-21
AMZN,262.98,2023-09-21
WMT,74.69,2023-09-21
COST,761.6,2023-09-21
TGT,328.53,2023-09-21
