Date,Stock,Price,p/e,Sector Lowest,52 Week High,200d-EMA,Alpha,Beta,Worth,Weight
4/28/2023,META,94.7,10.67,107.57,228.78,115.62,0.063,0.91,-5.15,0.0124
4/28/2023,JPM,198.21,-7.02,101.7,173.62,216.62,0.0519,0.99,17.81,0.0376
4/28/2023,BAC,457.3,1.27,135.68,180.24,437.99,0.0455,1.19,0.39,0.0218
4/28/2023,WFC,86.29,1.93,115.68,140.82,91.08,0.0637,0.88,-9.77,0.0247
4/28/2023,C,121.35,8.93,106.65,180.59,123.36,0.0532,1.07,41.69,0.0314
4/28/2023,GS,96.64,4.07,132.89,360.14,99.92,0.0723,1.14,-19.4,0.0274
4/28/2023,PG,249.06,-2.56,122.93,412.75,246.61,0.0497,1.1,-7.67,0.0221
4/28/2023,KO,291.52,3.48,81.35,135.42,301.75,0.008,1.11,-7.95,0.0132
4/28/2023,PEP,251.96,3.95,143.8,177.74,261.98,0.0465,1.03,-10.64,0.0317
4/28/2023,MO,327.88,4.66,83.28,154.78,331.15,0.0218,0.91,-9.14,0.0141
4/28/2023,MNST,428.29,-0.4,120.46,411.05,421.23,0.0588,0.88,7.94,0.0327
4/28/2023,JNJ,129.59,-0.6,126.23,205.44,137.18,0.0519,1.16,6.3,0.0133
4/28/2023,PFE,391.8,-1.01,97.05,232.8,394.67,0.0598,1.19,1.65,0.0179
4/28/2023,MRNA,250.79,4.48,143.85,405.01,246.78,0.065,0.86,27.33,0.0245
4/28/2023,LLY,381.85,-7.98,80.46,147.53,377.14,0.0441,1.01,-18.42,0.0124
4/28/2023,UNH,189.98,-4.87,129.45,471.63,164.75,0.0046,1.12,-12.67,0.0151
4/28/2023,XOM,228.88,8.61,91.62,157.82,226.62,0.0228,0.9,13.04,0.0159
4/28/2023,CVX,357.27,2.01,99.69,281.43,348.52,0.0252,0.92,-44.21,0.0274
4/28/2023,COP,323.28,4.25,91.97,231.58,314.27,0.0632,0.87,-13.54,0.0395
4/28/2023,PSX,391.36,-0.58,144.3,357.4,381.32,0.0632,1.07,-39.89,0.0198
4/28/2023,SLB,150.69,2.91,125.18,229.9,142.58,0.0842,0.98,14.02,0.0116
4/28/2023,TSLA,385.8,-6.28,125.51,285.54,394.05,0.0418,0.98,24.28,0.0223
4/28/2023,F,189.43,0.25,144.82,486.99,194.74,0.0597,1.15,22.07,0.0303
4/28/2023,GM,231.95,7.13,141.15,483.46,225.06,0.0654,1,5.98,0.0187
4/28/2023,RIVN,200.28,7.1,146.61,105.22,212.28,0.064,1.11,-34.28,0.035
4/28/2023,LCID,294.82,-6.77,110.24,288.89,276.72,0.0546,1.2,3.22,0.0252
4/28/2023,AMZN,253.19,1.18,92.39,242.43,257.27,0.0634,0.91,-24,0.0322
4/28/2023,WMT,387.08,-13.15,133.91,267.12,396.65,0.0139,1.19,-27.08,0.0308
4/28/2023,COST,197.62,-7.34,85.8,172.38,191,0.0448,0.8,-2.09,0.0161
4/28/2023,TGT,352.97,-2.46,106.67,320.68,343.34,0.0314,0.92,-10.43,0.0346
4/28/2023,HD,446.35,-11.37,121.08,203.96,449.02,0.0858,1.14,8.01,0.023
4/28/2023,BA,126.96,-0.32,92.06,252.52,143.64,0.0234,0.96,-15.32,0.0172
4/28/2023,LMT,411.16,-2.48,122.38,255.15,412.16,0.0524,0.97,-14.67,0.0347
4/28/2023,NOC,308.12,-0.79,88.06,257.3,301.74,0.0566,0.84,-0.92,0.0298
4/28/2023,GD,327.86,-5.7,134.45,238.15,339.56,0.0202,0.94,-23.64,0.0389
4/28/2023,RTX,274.37,-6.93,112.36,463.61,262.05,0.0332,0.89,14.01,0.0377
4/28/2023,VZ,209.34,4.98,88.39,290.03,225.13,0.045,0.94,-12.83,0.013
4/28/2023,T,144.11,0.35,111.6,281.7,152.42,0.0354,0.84,-8.6,0.0163
4/28/2023,DIS,132.7,3.04,142.62,177.33,134.69,0.0354,1.2,-25.08,0.0344
4/28/2023,NFLX,239.66,-6.52,104.06,437.93,230.61,0.0562,1.09,27.05,0.0107
4/28/2023,CMCSA,122.23,0.47,99.42,131.02,114.02,0.0638,1.1,9.17,0.0291
4/28/2023,AMD,212.01,1.76,105.24,178.71,226.48,0.0205,1.05,-16.76,0.0237
4/28/2023,TSM,338.42,9.89,144.42,412.94,329.43,0.041,0.81,3.68,0.0148
4/28/2023,INTC,213.77,-0.19,128.21,466.55,221.54,0.0608,0.9,-1.76,0.0241
4/28/2023,AVGO,409.96,0.1,120.19,393.79,412.61,0.0586,1.02,5.54,0.0387
4/28/2023,QCOM,145.87,3.7,121.88,124.42,150.88,0.0741,0.91,15.8,0.0267
5/5/2023,AAPL,158.2,-1,143.33,322.53,180.54,0.0352,0.82,-14.49,0.0324
5/5/2023,MSFT,326.45,0,88.69,288.6,320.58,0.068,0.9,-24.01,0.0373
5/5/2023,GOOGL,367.78,7.78,80.71,123.87,368.24,0.0739,1.04,4.29,0.0134
5/5/2023,NVDA,137.6,-6.08,125.77,231.73,137.95,0.0532,1.07,3.44,0.0325
5/5/2023,META,194.35,-0.7,149.82,227.51,220.57,0.0545,1.14,27.95,0.037
5/5/2023,JPM,397.25,2.68,130.85,375.12,384.96,0.052,1.09,12.07,0.0156
5/5/2023,BAC,325.45,8.74,121.76,210.72,318.58,0.0392,1.01,5.97,0.03
5/5/2023,WFC,408.92,4.01,102.34,121.66,413.91,0.0417,1.06,-19.06,0.0239
5/5/2023,C,310.15,-1.21,107.75,132.98,292.59,0.06,0.99,6.79,0.0186
5/5/2023,GS,425.88,-0.06,90.32,148.26,421.92,0.0466,1.17,-8.92,0.0385
5/5/2023,PG,423.37,8.34,127.48,461.82,411.85,0.0593,0.86,5.89,0.0314
5/5/2023,KO,390.58,4.95,91.83,354.84,395.52,0.0556,0.86,11.62,0.0263
5/5/2023,PEP,334.71,10.49,142.38,364.1,331.51,0.0541,0.93,19.36,0.0357
5/5/2023,MO,261.01,2.81,116.03,282.93,251.83,0.0831,0.97,21.23,0.035
5/5/2023,MNST,389.63,1,115.78,138.94,396.58,0.0838,1.15,17.04,0.0273
5/5/2023,JNJ,367.95,-1.31,95.83,130.62,373.13,0.0307,0.88,-9,0.0385
5/5/2023,PFE,349.6,5.61,129.6,151.73,350.79,0.0782,0.94,-21.07,0.0335
5/5/2023,MRNA,124.25,7.36,94.11,270.89,107.59,0.0224,1.08,-41.73,0.0362
5/5/2023,LLY,109.19,-7.14,118.17,271.67,110.33,0.0658,1.11,-15.56,0.0271
5/5/2023,UNH,165.75,4.07,117.22,487.88,183.47,0.0511,1.03,46.59,0.01
5/5/2023,XOM,336.37,-1.71,128.69,401.11,336.24,0.0333,1.05,8.2,0.0296
5/5/2023,CVX,225.83,-4.91,87.5,198.66,225.89,0.0585,0.99,18.67,0.0231
5/5/2023,COP,435.63,-3.02,125.71,394.12,439.41,0.0415,1.16,17.95,0.0252
5/5/2023,PSX,273.1,-0.84,96.32,135.17,277.49,0.0209,1.16,2.17,0.0187
5/5/2023,SLB,128.45,-7.06,104.6,452.99,133.89,0.0636,0.97,10.35,0.0205
5/5/2023,TSLA,269.02,2.97,126.25,426.89,256.46,0.0335,0.95,28.77,0.0101
5/5/2023,F,232.08,0.89,147.74,185.38,224.7,0.0482,0.91,-21.42,0.0166
5/5/2023,GM,291.93,12.59,113.07,242.59,283.22,0.0739,1.1,39.73,0.0166
5/5/2023,RIVN,120.5,2.72,92.5,120.42,128.63,0.0559,1.07,-29.03,0.038
5/5/2023,LCID,437.68,-9.41,102.75,303.18,435.08,0.0679,1.1,-6.61,0.0306
5/5/2023,AMZN,144.06,-8.58,130.19,315.98,154.32,0.0464,0.82,-23.73,0.0206
5/5/2023,WMT,108.39,-9.24,99.75,328.17,115.67,0.0455,1.06,-9.1,0.0213
5/5/2023,COST,187.22,3.08,89.64,229.86,191.28,0.0491,0.87,-23.9,0.0293
5/5/2023,TGT,373.92,-4.59,105.25,104.69,376.25,0.063,1.08,-11.81,0.0194
5/5/2023,HD,306.02,2.7,120.49,240.53,290.33,0.0507,0.88,-17.38,0.0371
5/5/2023,BA,263.07,8.07,146.64,181.7,281.3,0.0641,0.97,-0.71,0.0202
5/5/2023,LMT,280.18,2.89,91.32,447.97,275.4,0.0207,0.95,-20.77,0.0383
5/5/2023,NOC,287.92,-3.13,120.06,293.25,285.67,0.0682,1.11,3.57,0.0335
5/5/2023,GD,175.36,1.87,83.55,112.01,178.19,0.0073,0.95,-12.69,0.0153
5/5/2023,RTX,253.03,-3.74,111.39,214.48,260.94,0.0472,0.88,-2.55,0.0267
5/5/2023,VZ,224.97,-7.77,138.74,149.44,231.53,0.0698,0.97,25.54,0.013
5/5/2023,T,219.21,-1.26,125.11,268.49,205.27,0.0447,1.13,11.39,0.0377
5/5/2023,DIS,329.89,-2.27,149.58,317.3,310.86,0.0447,1.19,-12.23,0.032
5/5/2023,NFLX,183.52,-5.35,89.91,347.19,185.85,0.042,1.17,-22.67,0.0364
5/5/2023,CMCSA,301.23,-6.37,80.37,245.49,310.44,0.0784,0.89,8.17,0.0123
5/5/2023,AMD,382.31,-7.19,94.9,187.29,390.6,0.0448,1.03,-21.88,0.033
5/5/2023,TSM,216.33,8.41,106.75,201.41,209.63,0.0579,1.09,-16.53,0.0203
5/5/2023,INTC,231.03,1.93,86.44,165,228.95,0.0619,1.19,35.92,0.0146
5/5/2023,AVGO,235.11,1.8,114.32,170.24,226.88,0.0729,0.83,14.55,0.0213
5/5/2023,QCOM,205.42,-8.82,142.15,114.99,222.57,0.0037,0.85,-2.36,0.038
5/12/2023,AAPL,191.53,4.1,108.06,167.52,192.63,0.0004,1,-7.54,0.0236
5/12/2023,MSFT,141.3,-0.63,116.27,107.49,132.73,0.0521,1.07,5.63,0.0181
5/12/2023,GOOGL,421.92,-3.54,146.73,478.79,418.16,0.0228,1.05,-27.58,0.0152
5/12/2023,NVDA,180.42,-3.18,118.91,426.33,166.27,0.0776,0.89,5.77,0.0292
5/12/2023,META,298.37,-5.11,146,239.82,296.31,0.054,0.9,58.76,0.0369
5/12/2023,JPM,154.25,-1.87,114.16,492.6,157.24,0.0187,1.11,6.49,0.0236
5/12/2023,BAC,114.7,5.64,127.25,387.55,126.35,0.0717,0.92,-25.27,0.0106
5/12/2023,WFC,143.06,-6.47,147.37,190.45,125.13,0.0521,0.98,30.59,0.0302
5/12/2023,C,118.81,5.05,109.24,389.23,112.08,0.0343,1.17,-3.23,0.0152
5/12/2023,GS,94.24,-0.1,139.79,419.68,103.01,0.0768,0.9,-1.97,0.0292
5/12/2023,PG,114.09,3.88,110.24,246.44,112.9,0.1033,1.11,14.52,0.0195
5/12/2023,KO,193.83,1.74,94.85,156.46,180.85,0.0486,1,53.7,0.0183
5/12/2023,PEP,175.05,1.02,88.43,203.38,195.91,0.0585,1.15,19.66,0.0128
5/12/2023,MO,184.01,-2.56,105.52,362.45,190.88,0.0195,1.18,13.71,0.0391
5/12/2023,MNST,328.12,-0.19,94.27,161.75,344.1,0.0226,1.13,-29.86,0.0166
5/12/2023,JNJ,192.41,-5.42,106.92,162.23,201.58,0.0262,1.16,-23.7,0.0294
5/12/2023,PFE,423.05,3.21,129.21,406.49,432.05,0.0348,1.16,-2.02,0.0241
5/12/2023,MRNA,269.53,-0.68,141.71,265.3,254.08,0.0039,0.95,-11.66,0.0246
5/12/2023,LLY,436.3,0.43,99.49,163.78,431.69,0.0616,1.19,-6.32,0.0146
5/12/2023,UNH,431.21,7.7,141.38,496.87,434.21,0.0139,1.17,3.76,0.0354
5/12/2023,XOM,110.68,-5.62,148.8,399.38,122.7,0.0366,1.18,-2.97,0.0122
5/12/2023,CVX,309.32,0.94,140.19,393.85,303.76,0.0632,1,6.95,0.0261
5/12/2023,COP,285.91,0.82,119.54,231.81,274.82,0.0326,1.05,15.68,0.0246
5/12/2023,PSX,357.88,1.88,89.53,195.54,361.56,0.088,1.11,-3.05,0.024
5/12/2023,SLB,148.69,-2.14,132.68,433.34,144.91,0.052,1.12,-23.78,0.0331
5/12/2023,TSLA,185.17,10.56,119.1,447.81,183.71,0.0361,0.95,0.05,0.04
5/12/2023,F,186.91,-3.21,118.74,300.62,183.04,0.0172,0.9,-24.4,0.0204
5/12/2023,GM,217.66,-4.62,149.91,398.35,219.49,0.0626,1.2,10.19,0.0237
5/12/2023,RIVN,114.87,11.33,86.94,102.39,105.67,0.0351,1,-31.56,0.0115
5/12/2023,LCID,312.47,-2.02,102.55,359.54,324.07,0.078,1.02,8.38,0.0342
5/12/2023,AMZN,260.98,-2.42,115.75,216.46,248.51,0.0601,1.1,-18.4,0.0355
5/12/2023,WMT,370.85,3.75,86.22,178.68,384.96,0.0352,1.17,-8.47,0.0266
5/12/2023,COST,253.18,2.55,144.85,466.81,256.68,0.0933,1.06,23.45,0.0399
5/12/2023,TGT,357.31,-4.04,128.6,165.41,349.4,0.0474,0.93,13.85,0.0274
5/12/2023,HD,92.52,2.89,125.53,353.04,91.52,0.0642,1.01,9.68,0.0344
5/12/2023,BA,240.04,6.36,125.18,141.32,243.94,0.0966,0.85,-2.97,0.0339
5/12/2023,LMT,91.91,1.29,119.14,217.88,106.56,0.0561,0.96,-20.37,0.0174
5/12/2023,NOC,241.65,-0.43,101.55,323.45,245.15,0.0437,1.07,-7.71,0.0174
5/12/2023,GD,240.16,-1.18,107.39,134.76,234.71,0.0429,1.08,36.68,0.0271
5/12/2023,RTX,333.96,-0.44,138.99,140.5,321.81,0.0121,1.09,-20.35,0.0333
5/12/2023,VZ,343.68,-0.56,90.24,205.09,343.48,0.055,1.08,16.3,0.0314
5/12/2023,T,132.28,-2.68,95.67,121.06,109.33,0.0495,1,-3.57,0.0307
5/12/2023,DIS,140.37,8.36,91.65,358.82,145.14,0.0711,1.16,28.69,0.0204
5/12/2023,NFLX,309.8,9.55,101.03,408.14,313.75,-0.0022,0.96,-13.57,0.038
5/12/2023,CMCSA,330.78,-4.03,118.61,383.26,312.9,0.0425,0.93,10.06,0.0192
5/12/2023,AMD,418.16,0.83,113.67,214.12,421.52,0.0786,0.81,11.5,0.0227
5/12/2023,TSM,151.72,7.33,100.91,159.19,167.46,0.0616,1.2,4.7,0.0127
5/12/2023,INTC,372.94,1.46,132.58,424.63,386.29,0.0291,0.98,-10.98,0.0261
5/12/2023,AVGO,103.67,0.09,126.21,178.05,105.1,0.0532,1.18,36.41,0.0331
5/12/2023,QCOM,415.5,-1.57,85.47,276.69,418.9,0.0605,1.03,9.1,0.0174
5/19/2023,AAPL,153.88,1.1,146.17,459.57,153.43,0.0462,0.89,-13.18,0.0166
5/19/2023,MSFT,92.79,-0.88,135.61,142.02,101.72,0.0048,0.99,6.15,0.0363
5/19/2023,GOOGL,240.97,0.45,96.11,426.25,248.19,0.0425,1.18,-6.57,0.0246
5/19/2023,NVDA,440.82,5.33,122.5,471.99,427.59,0.0431,1.02,-24.43,0.0397
5/19/2023,META,433.09,5.3,98.46,222.88,406.59,0.033,0.86,15.26,0.0298
5/19/2023,JPM,254.94,-1.47,140.68,286.05,262.11,0.0321,0.92,3.29,0.0268
5/19/2023,BAC,352.77,-2.22,81.35,483.16,358.78,0.0926,0.9,27.64,0.0374
5/19/2023,WFC,369.39,0.5,144.12,227.56,387.32,0.0449,1.14,34.38,0.0186
5/19/2023,C,270.58,-1.38,133.3,180.71,268.41,0.047,1.07,-9.67,0.022
5/19/2023,GS,370.74,-4.98,126.24,328.43,366.39,0.0845,0.9,5.21,0.0226
5/19/2023,PG,189.13,5.14,144.02,453.92,177.94,0.0329,1.17,31.79,0.024
5/19/2023,KO,284.11,-13.02,80.33,353.29,289.45,0.0735,0.82,6.27,0.0262
5/19/2023,PEP,205.77,-2.39,86.92,475.12,207.72,0.0131,1.11,-17.19,0.0215
5/19/2023,MO,255.25,-3.3,92.22,328.65,267.71,0.048,1.08,7.37,0.0307
5/19/2023,MNST,406.36,-4.77,105.1,345.77,407.76,0.072,1,3.51,0.0135
5/19/2023,JNJ,330.97,-4.51,81.35,219.29,321.13,0.0731,0.86,-6.02,0.0255
5/19/2023,PFE,295.47,5.03,102.12,443.74,294.44,0.0363,0.92,24.99,0.0299
5/19/2023,MRNA,315.46,3.9,127.08,454.86,299.57,0.005,0.88,-0.43,0.0125
5/19/2023,LLY,107.3,1.52,134.08,424.31,112.37,0.0312,0.92,-6.24,0.0228
5/19/2023,UNH,390.96,6.17,90.54,409.32,383.99,0.0281,1.15,-31.3,0.0284
5/19/2023,XOM,253.68,-4.82,141.88,464.29,249.29,0.0502,1.15,14.99,0.011
5/19/2023,CVX,317.98,-0.99,102.17,266.66,310.42,0.0581,1.17,2.25,0.0361
5/19/2023,COP,332.77,-4.24,107.99,172.21,331.14,0.0224,1.01,-4.85,0.0146
5/19/2023,PSX,269.52,1.08,94.16,287.3,251.84,0.0182,0.93,-2.87,0.0137
5/19/2023,SLB,155.5,11.12,99.01,108.55,163.36,0.0718,0.9,-16.3,0.0263
5/19/2023,TSLA,220.96,2.72,122.74,227.86,215.91,0.0433,0.91,0.77,0.0225
5/19/2023,F,140.27,-4.28,87.51,487.51,144.84,0.0742,0.98,7.48,0.0253
5/19/2023,GM,186.31,-4.71,128.67,281.06,190.91,0.0526,1.16,3.09,0.0245
5/19/2023,RIVN,225.69,-3.48,134.36,315.03,222.17,0.0195,1.1,12.47,0.0228
5/19/2023,LCID,292.05,8.45,132.89,180.42,287.57,0.0531,0.93,-0.49,0.0249
